"State","Date","Confirmed","Deaths"
"Kansas","2021-07-28",329889,5249
"Kentucky","2021-07-28",479431,7325
"Louisiana","2021-07-28",531952,10948
"Maine","2021-07-28",70141,899
"Maryland","2021-07-28",466930,9813
"Massachusetts","2021-07-28",717944,18071
"Michigan","2021-07-28",1008429,21165
"Minnesota","2021-07-28",611458,7753
"Mississippi","2021-07-28",339954,7529
"Missouri","2021-07-28",676766,10067
"Montana","2021-07-28",115888,1704
"Nebraska","2021-07-28",227848,2280
"Nevada","2021-07-28",353746,5874
"New Hampshire","2021-07-28",100465,1386
"New Jersey","2021-07-28",1035975,26589
"New Mexico","2021-07-28",209684,4407
"New York","2021-07-28",2142132,53623
"North Carolina","2021-07-28",1041609,13606
"North Dakota","2021-07-28",111411,1569
"Ohio","2021-07-28",1125420,20663
"Oklahoma","2021-07-28",477052,7485
"Oregon","2021-07-28",217690,2849
"Pennsylvania","2021-07-28",1226720,27838
"Rhode Island","2021-07-28",153954,2739
"South Carolina","2021-07-28",613033,9894
"South Dakota","2021-07-28",125225,2045
"Tennessee","2021-07-28",888745,12715
"Texas","2021-07-28",3105208,53149
"Utah","2021-07-28",430143,2447
"Vermont","2021-07-28",24804,259
"Virginia","2021-07-28",692105,11522
"Washington","2021-07-28",471489,6100
"West Virginia","2021-07-28",166493,2939
"Wisconsin","2021-07-28",685018,8282
"Wyoming","2021-07-28",64623,776
"Alabama","2021-07-29",577463,11510
"Alaska","2021-07-29",74911,386
"Arizona","2021-07-29",923204,18200
"Arkansas","2021-07-29",382569,6110
"California","2021-07-29",4010451,64386
"Colorado","2021-07-29",573907,6935
"Connecticut","2021-07-29",353844,8293
"Delaware","2021-07-29",111129,1700
"District of Columbia","2021-07-29",50329,1149
"Florida","2021-07-29",2523510,38670
"Georgia","2021-07-29",1175845,21665
"Hawaii","2021-07-29",41303,534
"Idaho","2021-07-29",199955,2195
"Illinois","2021-07-29",1417263,25865
"Indiana","2021-07-29",769875,13999
"Iowa","2021-07-29",378831,6183
"Kansas","2021-07-29",331942,5253
"Kentucky","2021-07-29",481001,7327
"Louisiana","2021-07-29",536366,10968
"Maine","2021-07-29",70261,899
"Maryland","2021-07-29",467435,9818
"Massachusetts","2021-07-29",718849,18079
"Michigan","2021-07-29",1008429,21165
"Minnesota","2021-07-29",612001,7756
"Mississippi","2021-07-29",341862,7533
"Missouri","2021-07-29",679845,10072
"Montana","2021-07-29",116143,1704
"Nebraska","2021-07-29",228086,2280
"Nevada","2021-07-29",355091,5900
"New Hampshire","2021-07-29",100554,1387
"New Jersey","2021-07-29",1037052,26590
"New Mexico","2021-07-29",210085,4408
"New York","2021-07-29",2144741,53625
"North Carolina","2021-07-29",1044877,13618
"North Dakota","2021-07-29",111486,1569
"Ohio","2021-07-29",1126625,20669
"Oklahoma","2021-07-29",478858,7485
"Oregon","2021-07-29",218689,2855
"Pennsylvania","2021-07-29",1228104,27842
"Rhode Island","2021-07-29",154153,2739
"South Carolina","2021-07-29",614912,9904
"South Dakota","2021-07-29",125225,2045
"Tennessee","2021-07-29",891331,12723
"Texas","2021-07-29",3119924,53186
